initial_position,initial_velocity,mass,time,location
5393,4,326,72,-19720.600000000002
6268,1,426,79,-24233.9
1150,61,472,95,-37277.5
964,4,415,15,-78.5
8200,34,752,93,-31018.100000000006
1874,42,33,23,247.89999999999964
9498,73,730,70,-9402.0
62,22,531,99,-45784.9
9143,54,60,8,9261.4
663,70,829,46,-6485.4000000000015
9884,12,710,52,-2741.6000000000004
9278,7,906,70,-14242.0
9167,40,340,1,9202.1
3533,67,931,59,-9570.900000000001
2702,70,360,63,-12336.100000000002
1869,30,529,41,-5137.9000000000015
9508,55,725,58,-3785.600000000002
5075,15,254,57,-9990.1
1399,30,722,89,-34743.9
8530,18,316,18,7266.4
6122,27,64,94,-34636.4
4702,51,46,34,771.5999999999995
1061,26,269,30,-2569.0
3102,92,47,1,3189.1
2822,52,558,99,-40054.9
9074,26,48,69,-12460.900000000001
4041,46,445,20,3001.0
520,30,806,51,-10694.900000000001
6536,22,277,1,6553.1
9719,29,651,23,7793.9
8995,6,19,93,-32827.100000000006
356,99,850,36,-2430.4000000000005
7559,48,684,45,-203.5
8783,31,168,66,-10515.400000000001
4547,84,825,77,-18037.100000000002
4324,24,373,47,-5372.1
4381,82,13,84,-23305.4
1432,11,584,50,-10268.0
9915,69,308,23,8909.9
6718,13,435,16,5671.6
9480,86,903,35,6487.5
6138,46,608,50,-3812.0
5267,21,958,54,-7887.4000000000015
4322,56,605,38,-625.6000000000004
112,44,738,77,-25552.100000000002
8500,23,893,73,-15933.100000000002
5058,95,672,75,-15379.500000000004
7907,67,635,26,6336.6
3784,58,436,58,-9335.600000000002
7246,23,3,30,3526.0
9181,80,309,10,9491.0
3284,57,120,41,-2615.9000000000015
6796,58,944,11,6841.1
351,29,480,38,-5622.6
2364,56,259,60,-11916.0
7500,13,829,3,7494.9
9726,29,174,48,-171.60000000000036
8626,40,915,99,-35438.9
8124,45,530,55,-4223.500000000002
4316,45,250,58,-9557.600000000002
3684,82,761,50,-4466.0
6208,69,54,69,-12359.900000000001
2888,39,863,1,2922.1
7107,71,866,42,1445.3999999999996
7920,37,83,18,6998.4
5717,62,461,74,-16527.4
582,15,758,33,-4259.1
8820,11,747,74,-17198.4
5391,23,113,11,5051.1
502,30,176,81,-29216.9
3864,26,190,56,-10046.400000000001
4556,35,138,12,4270.4
437,87,665,98,-38096.600000000006
417,48,664,33,-3335.1000000000004
445,92,165,3,676.9
2313,4,702,17,964.8999999999999
8311,99,850,9,8805.1
5929,31,811,65,-12758.5
6528,31,143,50,-4172.0
9564,96,388,10,10034.0
234,86,874,42,-4797.6
6326,45,817,37,1282.8999999999996
1378,90,818,34,-1226.4000000000005
7221,30,846,94,-33255.4
6749,47,449,22,5411.4
6065,86,572,64,-8501.400000000001
3700,7,23,9,3366.1
5957,89,21,46,-317.40000000000146
8066,45,575,55,-4281.500000000002
3958,81,924,90,-28442.0
8678,86,778,67,-7556.100000000002
4583,29,646,80,-24457.000000000004
8739,77,55,42,3329.3999999999996
8318,66,58,28,6324.4
3613,64,589,32,643.3999999999996
1257,32,538,28,-1688.6000000000004
988,14,648,24,-1498.4
5411,96,807,66,-9597.400000000001
3002,64,632,22,2038.3999999999996
9626,30,955,67,-10360.100000000002
3430,33,306,63,-13939.100000000002
9636,19,266,11,9252.1
5787,73,858,43,-134.10000000000036
7029,36,631,18,6089.4
3189,80,83,68,-14028.600000000002
9484,37,904,71,-12589.900000000001
1153,6,646,5,1060.5
2111,42,292,16,1528.6
9489,58,725,6,9660.6
2547,21,314,70,-19993.0
5829,77,678,52,-3416.6000000000004
2769,44,729,97,-39067.100000000006
4921,52,274,39,-503.90000000000055
6013,28,358,2,6049.4
2778,54,260,72,-18735.600000000002
4952,49,124,22,3658.3999999999996
2874,77,806,26,1563.6
491,10,152,28,-3070.6000000000004
6771,42,577,68,-13030.600000000002
8198,90,533,11,8595.1
2411,17,938,56,-12003.400000000001
7508,17,525,39,718.0999999999995
7695,44,741,71,-13881.900000000001
6013,90,348,54,-3415.4000000000015
733,99,656,60,-10967.0
916,26,614,2,948.4
5561,53,40,71,-15376.900000000001
8866,48,492,27,6589.9
1859,50,331,36,-2691.4000000000005
7054,54,309,86,-24542.4
2541,82,610,46,-4055.4000000000015
1759,31,169,86,-31815.4
1147,8,177,49,-10225.900000000001
7136,8,87,62,-11203.600000000002
2583,86,1,57,-8435.1
5293,50,468,76,-19209.4
7401,43,896,85,-24346.5
4981,28,822,75,-20481.500000000004
5858,65,416,22,4916.4
2750,90,713,71,-15560.900000000001
4872,98,544,2,5048.4
4400,40,257,25,2337.5
634,26,654,68,-20255.600000000002
1109,19,553,76,-25749.4
1507,45,639,53,-9872.1
4045,44,743,91,-32527.9
8431,16,220,14,7694.6
8931,2,604,51,-3711.9000000000015
9728,77,844,63,-4869.100000000002
3458,36,795,41,-3302.9000000000015
206,5,252,86,-35604.4
3608,8,98,29,-280.90000000000055
6118,53,441,11,6108.1
1150,35,797,88,-33715.600000000006
204,90,480,19,145.0999999999999
9183,36,798,97,-33429.100000000006
4529,41,486,92,-33172.600000000006
313,39,513,29,-2676.9000000000005
907,78,256,52,-8286.6
8353,53,29,37,3605.8999999999996
6002,32,756,58,-8625.600000000002
3240,27,331,92,-35749.600000000006
6434,82,324,82,-19789.600000000006
5958,5,107,22,3696.3999999999996
5911,53,516,99,-36866.9
6567,79,950,34,3588.5999999999995
8573,70,227,29,6482.099999999999
5354,76,705,96,-32508.4
1740,46,909,33,-2078.1000000000004
1627,3,224,22,-678.6000000000004
2623,69,584,91,-31674.9
6979,69,955,13,7047.9
180,16,653,53,-12736.1
4959,24,360,42,-2676.6000000000004
3419,93,845,42,-1318.6000000000004
6263,25,73,46,-2955.4000000000015
7500,62,466,42,1460.3999999999996
3687,87,865,14,3944.6
3570,94,520,79,-19584.9
5006,86,362,22,4526.4
8054,55,107,34,4259.599999999999
